text,label
i just received my first order of junp and im so excited to have found it  my uncle who works in the medical field recommended it to me  after being a longtime liquid iv user i  was looking for something less expensive but just as good  im really pleased to see that junp contains even more variety and quantity of necessary electrolytes than the liquid iv product  i also like the texture of the junp in my water better  jump is less sweet but just as delicious and i love that it comes in a small canister that is easy to storeit doesnt crowd my pantrywe go through a lot of electrolyte mix around here with 2 high school athletes  my husband and i are also in our 40s and have to be more conscious of our nutrition and the junp will help us with natural hydration and energy so we can avoid caffeinated sodas,human
junp is a fantastic electrolyte mixless sweet but just as effective as liquid iv it has a great blend of electrolytes and comes in a compact canister thats easy to store perfect for athletes and adults alike,ai
one tabet is supposed to last 30 days not true 1 tab lasts 2 weeks i live alone and have marked the calendar to make sure i was correct disappointing,human
each tablet is supposed to last 30 days but mine only lasts two weeks i doublechecked by marking my calendar this was disappointing and misleading,ai
they smell amazing however you would probably need 20 of them to be able to consistently smell them here and there it will be noticeable but its amazing when it is,human
these smell wonderful but the scent isnt strong enough to fill a space unless you use a lot of them when noticeable though theyre amazing,ai
this product is amazing and i wouldnt be without it now,human
this product is incredible i cant imagine being without it now its become an essential part of my routine,ai
i prefer my battery operated warming socks in frigid wi  sorry,human
these socks didnt work for me in wisconsins frigid winters i prefer batteryoperated warming socks for cold weather,ai
now i can get the whole first floor windows done the building is very tall so the second and third are out of the question but the main floor looks good,human
this tool made cleaning the firstfloor windows much easier i cant reach the upper floors but the main level looks great now,ai
selectsocial cbd products are great they are third party tested for accuracy and the little extras like the herbals in their capsules are a nice added bonus,human
selectsocial cbd products are excellent i appreciate their thirdparty testing for accuracy and the added herbal ingredients in the capsules are a nice bonus,ai
great product they really help relieve pain in heels however placement is everything if not done correctly it will be a mess,human
these work well for heel pain but correct placement is critical misaligning them can cause issues so take your time during application,ai
my air filter systems uv light system burned outbought this and plugged in right next to my air filter  working great,human
my air filters uv light burned out and this was a great replacement plugged it in and its working perfectly alongside my system,ai
this is a great comparison to johnson and johnson brand,human
this product is a great alternative to the johnson  johnson brand its comparable in quality and performs just as well,ai
helping with tummy issues using with oregano oil too,human
this helps a lot with tummy issues especially when used alongside oregano oil ive noticed significant improvements,ai
dmso is good stuff it helped to defeat carpal tunnel syndrome in my wrists and arthritic shoulders and knees absolutely amazing,human
dmso is amazing its helped alleviate my carpal tunnel arthritis and other joint pains i highly recommend it to anyone dealing with similar issues,ai
great for long flights worked great i would suggest wearing another pair of normal sock over because these are thin and have no cushion,human
these socks are perfect for long flights though theyre a bit thin wearing a second pair over them adds cushioning for extra comfort,ai
only 90 minutes run timeneeded hours,human
the run time is only 90 minutes which isnt long enough for my needs i wish it lasted hours instead,ai
i have endometriosis and have terrible cramps and vaginal pain during my cycle a friend in my support group recommended to give these a try so i bought them they are wonderful they dont fully make cramps go away but they do ease them especially the vaginal pain they smell very nice but are lightly dented im very sensitive and they have not given me any issues the cooling feeling was a bit more than i expected when i first used them but it is very refreshing and great for pain i also have a few of their cleansing products and i love everything i have tried from honey pot,human
these pads work wonders for my endometriosis cramps while they dont eliminate the pain entirely they significantly ease it the cooling sensation is refreshing and they smell great without causing irritation,ai
i have been taking carnitine capsules to help with fibro pain  lets see how these workedhow these comethese come in an orange plastic bottle with an orange childproof cap  the pills inside are pressed white powderare they hard to swallowthese tablets are a bit on the long side but they are not too big to swallow if you are sure to have a lot of water in your mouthany bad reactionsi have not had any burping or bad digestive reactions to thesedo they helpi find that taking these does help with fibro pain and energy about as well as the powder in gel caps that i normally take  they do help take a bit of the edge off of the painthe bottom linethese tablets are not the same as the powder in capsules i usually take but they seem to work as well to help with fibro pain and energy levels  the orange bottle is great to help me find it quicklymy ratingfive stars  i am glad that i got these  i was not sure when i first saw them but after taking them i think they work pretty well,human
these carnitine tablets are effective for managing fibro pain and boosting energy the long orange bottle makes them easy to spot and the tablets are manageable to swallow with water im very happy with them,ai
great bag for the money durable i highly reccomend,human
this bag is durable and excellent value for the price i highly recommend it for anyone needing a reliable option,ai
very good product the handle is good quality and makes using the pumice stone very easy,human
the pumice stone is highquality and the handle makes it easy to use its a great tool for anyone needing heel care,ai
it works well glad i got it the jets work nicely i like the option of high jets or lower yet easy to instal the suction cups hod the jets well,human
this product works well and im glad i purchased it the adjustable jets are a nice touch and the suction cups hold everything securely in place,ai
love these for making candies mainly i just make organic gummy candys for a treat they work well and the shapes are awesome also can use for jello,human
these molds are fantastic for making candies i mostly use them for organic gummies and they work beautifully the shapes are adorable and versatile for other treats too,ai
this brush is probably the easiest way to straighten your hairi have very long very thick hair and anything else has been a pain in the butt to use  this has made it very very easy i highly recommend it,human
this hairbrush is a gamechanger for straightening it works effortlessly on my thick long hair and makes styling so much easier highly recommend,ai
hate hate hate these are impossibly thin and for someone like me with large calves it is a real pain to try to get them on i returned for a full refund,human
these socks are impossibly thin and a nightmare for anyone with large calves i returned them immediately for a full refund,ai
absolutely love the powerdot and the wireless bluetooth capabilities as an athlete i can take this anywhere and use it at any time without worrying about having to hold the main component its easy to pack transport and use anywhere its a high quality product that i would recommend to anyone of any level for any reason,human
the powerdot is amazing the bluetooth capability and portability make it perfect for athletes its easy to use anywhere and offers highquality results,ai
discourages mosquitoes and can be safely used every day  i use the original spray skin so soft if im going to be outside working,human
this spray effectively discourages mosquitoes and is safe for daily use i still keep the original skin so soft spray on hand for outdoor work,ai
works like comet should,human
classic comet performance it works just as it should leaving surfaces spotless ill definitely keep using this,ai
but its actually a good mixture of soft but not linty and no chemicals to irritate my bum the price from some vendors varies greatly so watch out for that,human
this tissue is a good balance of softness and durability the price varies a lot between vendors so watch out for that but its worth it at the right price,ai
ive been taking lions mane mushroom powder for about 2 months solid and find that it has basically no flavor at all i put it in my coffee or a turmeric tea it mixes in well and its easy to drink ive done a some research on it and it seems to be a very good supplement and highly beneficial for good health here are some the benefits it has enhanced brain functioning ability to prevent or slow the growth of cancer supports heart health helps with depression and anxiety potent antioxidant reduces inflammation boosts immune system supports digestive healththe only side effect ive been able to find is that it might cause a slight skin rash with some minor itching but is very rare and not considered serious just irritating i think this is a very good lions mane supplement,human
ive been using lions mane powder for two months and love how easy it is to mix into drinks its flavorless highly beneficial and supports overall health with numerous potential benefits,ai
i love this scale very much it syncs right away with my phone and fitbit app the only funny thing is i have to weigh 3 times to get a very accurate reading well worth it to me my daughter uses it also and i love how you can choose the initials of the person so it syncs to the right person i love it the batteries that came with it had a very short shelf life so be prepared to replace them right away the new batteries are going strong i also noticed it doesnt like really cold floors not sure why but that is what it seems like to me,human
i love this scale it syncs seamlessly with my phone and fitbit app the only downside is having to weigh myself multiple times for an accurate reading but its still a fantastic product,ai
healthy soyfree dairyfree protein awesome i use it in mealreplacement shakes with cocoa powder a little sugar and sometimes peanut butter powder or powdered heavy cream and the price is better than i expected,human
this protein powder is perfect for mealreplacement shakes its soyfree dairyfree and reasonably priced i mix it with cocoa powder or peanut butter for added flavor,ai
worked ok for 3 months and stopped working i try to contact the seller will update soonupdate 4th november seller still not responding,human
this worked fine for three months then stopped entirely i tried contacting the seller but received no response very disappointing,ai
i did not expect them to be of such nice quality i bought about 40 of them in total to give as gifts to those who take my face fitness class,human
these are great quality and were a hit as gifts for my face fitness class attendees i was pleasantly surprised by how nice they are,ai
as you would expect works great for stirring,human
exactly what youd expect works great for stirring and does its job well,ai
these are listed as one size fits most my thoughts on that were that that meant fits a lot of different sizes not i wear a 14 and there way no way these were going on i gave them to my oldest daughter who wears an 8 and they barely fit not only were they difficult for her to get on in the first place they kept sliding down over time the waistband doesnt hold them up very good and with the thighs being so extremely tight they kept wanting to work their way down to be fair they seem nice and warm however i wouldnt recommend these for anyone over a size 8 at max or probably under a size 6 maybe a 4  not my idea of one size fits most1 star  awful want my money back2 stars  bad but not horrendous3 stars  decentgood4 stars  really good5 stars  excellent definitely recommend,human
these are labeled as one size fits most but thats definitely not the case they barely fit my daughter who wears a size 8 and kept sliding down due to the poor waistband warm but not recommended for anyone above a size 8 or below a 6,ai
i really like the quality of these gua sha pink stones from this particular company its polished and smooth and i havent received a nicked or damaged one yet it feels great after youve left it overnight in the fridge overall i like the presentation and quality very much recommended,human
these gua sha stones are polished and smooth with no chips or flaws they feel amazing after being chilled in the fridge overnight highly recommended for their quality and presentation,ai
after only one night of two doses this product has helped me with my asthma coughing and excess mucus  i was also able to fall back to sleep immediately i will be ordering another one very soon i am shocked  and thrilled that i found something that actually works  has no flavor and no horrible side effectsingredients active ingredients hpuseriodictyon californicum 8x yerba santaipecacuanha 8x ipecaclobelia inflata 8x indian tobaccochamomilla 8x german chamomilebelladonna 8x deadly nightshadecoffea cruda 8x coffeesolidago virgaurea 8x goldenrodsambucus nigra 8x european eldercrataegus 8x hawthorn,human
after just one night and two doses i noticed significant relief from my asthma and excess mucus its flavorless has no side effects and genuinely works ill definitely be ordering more,ai
very comfortable and for the ridiculously low price not falling apart after a month or twoi will easily by more of these when i do break ones i have or wife takes themcome with slim cases and glass retainer cordsalmost 5 star really for the price and quality so far but i reserve 5 star for perfect items,human
surprisingly comfortable for such a low price they come with slim cases and retainer cords while not perfect the quality is impressive for the cost,ai
this is a nice basket of bath bombs the basket itself is a decent quality the bath bombs are a little smaller than i expected but they seem to explode slowly so you can relish the experience for a moment or two the bombs are individually wrapped in plastic which has been a little difficult to open the first bomb that i used said it was grapefruit but didnt smell anything like the fruit it had more of a flowery perfume scent the next one that i used was the peppermint one and it did smell like peppermint so i dont know if the grapefruit one was mislabeled or not the bombs havent left any noticeable rings in the tub this would make a great gift,human
this bath bomb basket makes a great gift the bombs dissolve slowly and dont leave residue while the grapefruit scent didnt match expectations the peppermint was spot on overall a good value,ai
excellent these are lasting well over a year the battery life is phenomenal 7heads is the best configuration for inshower bald facepate shaving7heads are excellent every bit the equal of my 5x more expensive foil shaveras a note i used a shaving creamconditioner provided by the hotel on the road some months ago and not this shaver the hotel cream was too thick and stalled the razor it was a bear to cleanout it was the first time i ever had to pop the individual shaving heads  id suggest you avoid this if you have big hands since then ive stuck to my tried and true shaving cream that enables a close shave and easy flush cream,human
this shaver is excellent the 7head configuration works beautifully and battery life is phenomenal avoid using overly thick creams as they can clog the heads great value rivaling much pricier models,ai
this is a nice idea and concept but the execution doesnt work for many faces this ended up putting a lot of pressure on the bridge of my nose which isnt particularly huge or anything but this definitely is made for people with tiny noses with a very small or low bridge if thats not you youre not gonna like this very uncomfortable and the little hook bracket things dont connect to anything so they dont stay in place,human
a clever concept but the execution doesnt work for most face shapes it caused discomfort on the bridge of my nose and didnt stay in place not ideal unless you have a small nose,ai
love this shoe horn  im short with a bad spine  the reach is totally adjustable works great,human
this adjustable shoehorn is perfect for someone with limited mobility it works well and is a lifesaver for me with my bad spine great product,ai
this was my first time trying chlorella powder and it will likely be my last the smell alone turned my stomach i tried to drink it but the flavor is strong i felt like i was drinking dirty water frogs had been splashing around in im sure the green color added to that mental picture the powder is super powdery so be careful opening the package i used an immersion blender to get it mixed up it seems like a nice product if you like the taste and scent im unable to bear it though,human
i couldnt get past the strong smell and taste of this chlorella powder while it may work for others i found it unbearable and wont be purchasing again,ai
this is a fantastic set of blends for essential oil newbies i have been dabbling in essential oils for aromatherapy application and cleaning purposes for a almost a year now and ive been pleasantly surprised with how much i like them im a big fan of diffusing them to help with quotailmentsquot and i think this set of blends is an amazing deal for a great setwhat i like1 this includes all of the most common oil blends that you can make if you have all of the individual oils stress relief sleepytime headache remedy breathe better health shield immune booster and muscle relief there are lots of mixtures you can do depending on the issue you are addressing but these have been the most common other than muscle relief that we have used in our house2 the sizes of the bottles are great its more than enough to last you a while as you only need a few drops in your diffuser3 they are already premixed in the correct amounts no guesswork no worrying if you have enough of one oil or not enough of another and you can always add a couple more drops of whatever you want to make this more customizable  if you want to add slightly more eucalyptus or peppermint to the diffuser when you use quotbreathequot for instance4 dark amber glass bottles and heavy duty caps to keep the oils safe5 comes in a really nice box so this would be perfect to give as a giftwhat i dont likei honestly havent come across anything yet all of the ones ive tried have been helpful and they smell exactly like the blends i had been doingoverall im glad i gave this set a try and i will definitely be buying my mother a set since shes just starting out with essential oils i think this set is super convenient and well priced for what you get im very happy with iti did receive this item for free for the purpose of testing and reviewing it but my cost has no bearing on how i rate a product,human
this essential oil set is perfect for beginners the premixed blends are convenient the quality is excellent and the packaging is giftworthy highly recommended for aromatherapy or gifting,ai
started using march 25 2015 so dont know how it is working yet,human
its still too early to tell if this product is effective but so far im optimistic,ai
i love these aromatic steamer shower bombs they are vividly colored appropriately sized delightfully scented and affordably priced and they always provide an invigorating shower experience each disk comes individually wrapped and the entire set is attractively packaged but i will say that any other scented products i use at the same time as these overpower the fragrant scent of these bombs simply because body washes and shampoos are closer to my nose the air is scented strongly for up to about 3 feet above each bomb and they dissolve cleanly without staining surfaces so id still recommend this boxed dozen to others,human
these shower steamer bombs are colorful aromatic and dissolve cleanly the scent is lovely but gets overpowered by nearby shampoos or soaps still they provide an invigorating experience and come beautifully packaged,ai
my husband is very pleased with this trimmer the price was what helped him decide to give this a try he loves a good deal he recommends this beard trimmer,human
my husband loves this trimmer the price was a deciding factor and its proven to be a great deal highly recommended,ai
arrived on time item as described,human
the item arrived as described and on time no complaints,ai
great trimmer that worked well in shower i still prefer a razor blade for a much closer shave,human
this trimmer works well in the shower though it doesnt provide as close a shave as a razor blade still its a solid option,ai
comfortable fit but not much help with sweating under the mask,human
comfortable to wear but doesnt do much to address sweating under the mask decent but not amazing,ai
i was pleased at first but now i am not  no matter how long i leave my contacts in my eyes burn from this solution  even after i rinsed my lenses with saline solution they still burned my eyes  so i stopped using this and went back to bausch and lomb bio true lens solution,human
initially pleased but this lens solution started burning my eyes even after rinsing with saline it was uncomfortable ive switched back to biotrue,ai
first floss ive found that glides easily between my tightlyspaced teeth  im very happy with this product,human
this floss is fantastic for tightly spaced teeth it glides easily and works better than any other floss ive tried very satisfied,ai
works great as advertised,human
does exactly what its supposed to works great and no complaints,ai
very nice cant wait to finish my current journal to get to use this one,human
beautiful journal i cant wait to finish my current one so i can start using this,ai
if you have a husband who snores and keeps you awake at night i would suggest you buy these i dont know how i have lived so long without these,human
if you have a snoring spouse these are a lifesaver i dont know how i managed before discovering them,ai
i cant take a lot of supplements due to the ingredients which end up doing more harm than good i took these and taking these and have had zero problems as for benefits i cant say that ive noted any unlike pqqresveratrol has many health benefits and i was happy to give it a try we are all different perhaps others noticed a differencethis is made in the usa and gmp certified i always look for that this is a vegan capsule which is great i dont get the addition of lemongrass but perhaps im missing somethingthere are 60 capsules here but the recommended dose is 2 per day so in reality this is a 30 days supply,human
this supplement is gmpcertified and vegan which i appreciate i didnt notice any significant benefits but it might work better for others a decent option overall,ai
decent for the price,human
decent quality for the price its not exceptional but does the job,ai
ive been battling vitamin d deficiency ever since i can remember and this supplement has been helping me a lot this deficiency greatly affects my blood sugar levels so i make it a point to religiously take this supplement i have been getting decent numbers when my doctor orders complete blood panel tests  which goes to show that this supplement is doing its jobi received one or more of the products mentioned above for review purposes regardless i only recommend products or services i use personally and believe will be good for other consumers like myself im just a regular consumer and i appreciate reading and giving honest feedback about products that regular people like me use on a daily basis or consider buying my views and opinions are from a customerend users standpoint,human
this vitamin d supplement has greatly improved my deficiency and positively impacted my health my blood sugar levels are more stable and its made a noticeable difference in my bloodwork results,ai
i was skeptical when i bought this razor due to the pricebut after using it for a couple of weeks i can say that i really like this razor dont let the price fool you the battery life is also very good my last razor would have to be recharged weekly not this one it arrived with 100 battery and ive yet to charge it and i still have plenty of battery left id buy it again in a heartbeat,human
i was skeptical about this razors price but it exceeded expectations great battery life and performance id happily buy it again,ai
no complaints at all about these generic replacement heads for a sonicare they fit well on my sonicare  not so tight that they are difficult to get on or off and not so loose that they come off too easily the fit is pretty much the same as the authentic sonicare brushesalthough these are described as being soft i would rate the bristles as medium or perhaps mediumsoft the bristles are definitely harder than the sonicare ultra soft version but are not as hard as the sonicare regular brushes i would have preferred that they be just a tad softer than they are but they are not so hard as to cause any notable gum irritation the oblong head shape is good for getting at the gum line and reaching molarsthe set of 8 come in a single box with each brush individually sealed in a plastic pouch plus theres a cap over the end of each brush i much prefer this type of packaging versus the blister pack method used by other generic replacement heads its easier to deal with and creates less packaging wasteno significant complaints about these  good value for the price,human
these replacement sonicare heads are a good fit and a great value while slightly firmer than id like they perform well and come neatly packaged,ai
woks great at lowering blood pressure and is reasonable priced,human
this supplement effectively lowers blood pressure and is reasonably priced highly recommend,ai
lovely i ordered it because it reminds me of those tibetan temple wheels,human
lovely product it reminds me of tibetan temple wheels and brings a touch of elegance,ai
nice unit but you can only set both leads to the same strength  so if you have them in different locations they are still the same strength on both lines,human
a nice unit but both leads can only be set to the same strength its a limitation for using on different areas but its still effective,ai
very portable and easy for on the go this pump worked extremely well for me easy to clean put together and charger great value for the price i used it while my little one was in the nicu and liked it better than the hospital pump definitely worth the buy,human
this portable pump is easy to use clean and charge its a great value and i even preferred it over the hospital pump while my baby was in the nicu,ai
this is a 7 oz bag of usda certified organic maca root it looks and smells like i expected it smells and tastes pretty fresh to me,human
this maca root powder is fresh and smells as expected its a good organic option and meets my needs perfectly,ai
this did not clean my teeth better than my electric toothbrush i can feel it alas i still gave it a few days and nights to see how my teeth feeli will be sticking with the electric brush as the bristles can actually get in between my teeth this is a dense brush and i can see why they call it the cloud toothbrush on instagramfb it is really soft so for those with very sensitive gums try this its worth checking out to see if it helps youi also felt kind of nasty thinking about how id get this completely clean if i continue using it for the full amount of time as it seems food could easily get trapped in the dense bristles it does have a textured back which i assume to be a tongue cleaner however its useless each brush is in its own container with breathing holes however those are also very flimsy so if you get this knowing youll love it i would grab a toothbrush case separatelybasically felt like i was brushing with a sponge,human
this toothbrush is incredibly soft and great for sensitive gums however it feels more like brushing with a sponge than bristles ill stick with my electric toothbrush,ai
charge lasts forever fast heatingabsolutely the best i have ever owned even comparing to others twice the cost,human
the charge lasts forever and it heats quickly by far the best ive owned even compared to pricier models,ai
this is made of plastic and does not hold suction  bad product,human
this product doesnt hold suction and is poorly made i wouldnt recommend it,ai
great product and good price,human
great product at a good price very satisfied,ai
we have used this for all three of our children from birth to when they get out of diapers its so gentle easy to apply and works fast,human
this has been a staple for all three of my children its gentle easy to apply and works quickly highly recommend,ai
i have a lot of low backhip pain and after a day of sitting at the computer all day kills me i cant afford a fancy ergonomic office chair so i was ecstatic to see this show up ive been using it for a couple weeks now and im amazed that i feel as good or better at the end of the day as i do when i start working it conforms easily to my back while still providing excellent support its not overly molded so that it only fits one body typeshape the unique design of the rubber stays firm when and where needed but is soft and cushy where needed tooone thing to note is that the cover is a stretchy fabric like spandex which allows it to stretch over the cushion but fit closely to it there are two loops on the back which allow you to run a belt or rope to tie it in place onto your chair however since the fabric is so stretchy and the cushion fairly heavy it pulls down into the seat rather than staying against the chair back so i still have to push it up and into place when i come back to the chair im thinking of sewing a more structured cover that wont stretch so much to keep it in place betteri received a discount in exchange for an honest review,human
this cushion has greatly improved my comfort while working long hours it provides excellent support but tends to slide down without extra securing overall a great purchase,ai
it cleans,human
it cleans as it should works well for its purpose,ai
this is just the thing to have on hand with the whole covid outbreak this is the kind of supplement that you dont need until you really need it i like that it has elderberry vitamins and b in addition to the standard vitamin c,human
this supplement is packed with elderberry and essential vitamins making it a great addition to your health routine perfect to have on hand,ai
i love the massive amount of time turmeric in these capsules turmeric is a wonderful all natural antiinflammatory joint pain fighting machine most brands that ive looked at have under 1000 mg per serving but i was looking for a product that packed a bit more of a punch and this product was the winner each serving of 3 veggie capsules contains over 2000 mg of turmeric as well as black pepper for maximum absorption its organic and each bottle contains a months worth of capsules,human
this turmeric supplement is a powerhouse with over 2000 mg per serving and added black pepper for absorption its highly effective for inflammation and joint pain organic and well worth it,ai
for the past 10 years this is the easiest way ive found to give calcium to my 30 lb dog to supplement her home made diet i use it with an oral syringe  i load it up every 10 days squirt 1 ml into her dinner every night thats it no fuss no muss  no refrigeration needed best of all her bloodwork is always just about perfect being a product for humans i can worry less about impurities that eggshells or petonly products might havei had a whole lot of trouble finding this for a while my local pharmacy stopped carrying it because they couldnt get it i couldnt find it anywhere online in the meantime i tried a different calcium solution it didnt have nearly the concentration and was very sticky it meant giving my dog even more sorbate thats not nearly as bad for them as xylitol but its always wise to keep artificial sweeteners to an absolute minimum for dogs i ended up throwing it all out the minute i could restock on the roxane version seems that roxane had to recertify it or something anyway its still hard to find and i am very glad to have found it here,human
this calcium supplement works perfectly for my dogs homemade diet its concentrated easy to administer and free of artificial sweeteners a fantastic product ill continue to use,ai
its  best to have extra magnetic clips for your cpap straps good buy,human
extra cpap magnetic clips are always handy this was a great buy for backups,ai
decent brush  i use diesel to clean and gear oil to lube  i had plans of using one brush for the cleaning and one for the lubing  then when i went to lube chain i found i was too lazy to get up and grab the second brushso i use the same brush for cleaning and lubing  holding up so far,human
this brush works well for cleaning and lubing chains its holding up nicely even with regular use,ai
this is the best product for cleaning the soap from our shower stall with a wipe of a paper towel it it clean and shiny i now have a never ending supply,human
this is the best product for cleaning soap scum from the shower a quick wipe leaves it shiny and spotless every time,ai
fantasticeasy to use,human
easy to use and very effective fantastic product,ai
these cod livers are sooo good  i couldnt wait try them and they didnt disappointnext to lobster tails ive never tasted anything so good in my lifeedit 12282019im taking off 2 stars for the smashed up cans you keep sending me,human
these cod livers are delicious and high quality however ive had issues with smashed cans during shipping which is frustrating,ai
this massager works great digs in to those big knots on the shoulders  i am enjoying sitting and relaxing while the massager and heat  works its magic,human
this massager works wonders on shoulder knots the heat function is relaxing and its become a favorite in my home,ai
this product worked great i would highly recommend,human
this product worked exactly as advertised i highly recommend it,ai
this is the first diffuser ive purchased and it does not disappoint  the fragrance is powerful yet not overwhelming it has a clean soft scent and i can smell it throughout my room this makes an excellent gift for men or women ill be buying more this soleil scent is hard to find,human
my first diffuser and i love it the fragrance is clean and fills the room without being overwhelming a fantastic gift idea for anyone,ai
these are the best removed mildew from golf cart seat scratch off basement wall you name it,human
these work amazingly they removed mildew from my golf cart seat and even scratches off the basement wall super versatile product,ai
you will find that as you get older your eyesight needs help to maintain your vision i have degenerative retinal disease and i take vision support to keep my eyes from getting worse i have taken other brand names of the same formulation and so far my disease has not gotten worse in the five or six years since being diagnosed if you are diabetic this is imperative to keep from getting diabetic retinopathy glaucoma and cataracts,human
this supplement is a musthave for anyone concerned about vision health especially with conditions like degenerative retinal disease ive been taking it for years and my eyesight hasnt worsened great for diabetics to help prevent complications like glaucoma and cataracts,ai
if you need to make an adapter of your own this will let you do it  its nice to have on hand just in case,human
a handy item to keep around for diy adapters simple but effective,ai
always have loved scrub budsbetter priced than other sellers,human
scrub buds are always reliable and these are priced better than other sellers very satisfied,ai
they are thin i have order pads before but these are not the ones,human
these pads are disappointingly thin compared to ones ive ordered before theyre not what i was expecting,ai
good taste no problems with it,human
tastes good and works as expected no complaints here,ai
it is nice to be able to get the supplies i need without making many phone calls or wait for representive to bring to me very nice product thanks,human
so convenient to get the supplies i need without the hassle of making calls or waiting on representatives very nice product,ai
helped me a great deal thank you,human
this has been a great help to me much appreciated,ai
i love this brand they are able to source products that are tested and backed by clinical studies so i know what im getting this product gave me the feeling of being alert and focused without the jitters and i felt like o had control of my thoughts took about an hour for me to even realize because its just that subtle and smooth,human
this brand consistently delivers quality products backed by clinical studies this one keeps me alert and focused without any jitterssmooth and subtle effects love it,ai
i have taken 1 to 2 grams of omega 3 every day for the past two decades  my reasoning for taking the supplement varies with my ailments and the research  it has been shown to be useful for mental health inflammatory disease muscle strength and cancer prevention  i used to take it for my heart and memory but im not sure the science supports that  i take one pill a day to supplement the large quantities of fish oil i get from fresh caught fish that we eat every other dayi chose this brand because of consumer labs recommendations based on formulation concentration quality and price  not only is it one of the most concentrated capsule form but buying it in this two pack with an additional discount cut the price to 14 a pill making it the cheapest omega 3 per 500 mg,human
ive taken omega3 supplements for decades and this brand offers excellent concentration quality and value at 014 per pill in this twopack its the most affordable option for the dosage highly recommended,ai
we use in our apartment bedroom for great sleep,human
this has improved our sleep so much we use it in the bedroom and it works wonders,ai
great value and a lot of sounds to choose from doesnt seem to loop either,human
